                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87435,                 3.5602,                 1.1323,                0.00333,                 0.9375,                0.43853,                 0.4009,                0.68594,                 3.4298,                0.86257,                0.00018,                0.00018,                0.00018
                      2,                0.91372,                 2.1617,                 1.0373,                0.00356,                      1,                0.80471,                0.66334,                0.74447,                 3.3044,                0.89666,             0.00037749,             0.00037749,             0.00037749
                      3,                0.95962,                 1.8668,                 1.0501,                0.00356,                      1,                 0.8071,                0.65552,                0.60983,                 3.2424,                0.85302,             0.00057234,             0.00057234,             0.00057234
                      4,                0.95059,                 1.5253,                 1.0372,                      1,                0.41997,                0.59976,                0.47979,                0.73422,                 3.2049,                0.90419,             0.00076456,             0.00076456,             0.00076456
                      5,                 0.9187,                 1.4716,                 1.0395,                      1,                0.26244,                 0.6564,                0.45648,                 0.8189,                 3.2108,                0.98564,             0.00095413,             0.00095413,             0.00095413
                      6,                 0.9135,                 1.5378,                 1.0591,                0.93553,                    0.5,                0.63591,                0.52495,                0.81136,                 2.8128,                0.93675,              0.0011411,              0.0011411,              0.0011411
                      7,                0.90613,                  1.334,                 1.0325,                0.96984,                  0.375,                0.43009,                0.34723,                0.84925,                 2.9114,                 1.0308,              0.0013254,              0.0013254,              0.0013254
                      8,                0.88866,                 1.3092,                 1.0448,                0.70371,                    0.5,                0.54865,                0.41487,                0.90007,                 2.6964,                 1.1176,               0.001507,               0.001507,               0.001507
                      9,                0.92075,                 1.3166,                 1.0424,                0.81595,                 0.4375,                0.53516,                0.44903,                0.78553,                 4.6732,                 1.0001,               0.001686,               0.001686,               0.001686
                     10,                0.93234,                 1.3494,                  1.068,                0.85858,                 0.4375,                0.58481,                0.47725,                 0.7993,                 2.9437,                 1.0588,              0.0018624,              0.0018624,              0.0018624
                     11,                0.97698,                 1.2611,                  1.086,                0.72728,                  0.875,                0.85351,                0.61572,                 0.8062,                 2.1814,                0.97303,               0.001868,               0.001868,               0.001868
                     12,                0.92618,                   1.17,                 1.0477,                0.90991,                 0.6875,                0.86068,                 0.6814,                0.83757,                 1.6632,                0.95504,              0.0018548,              0.0018548,              0.0018548
                     13,                0.89607,                 1.1239,                 1.0249,                0.60044,                    0.5,                0.49571,                0.35654,                0.97808,                 2.3879,                  1.034,              0.0018416,              0.0018416,              0.0018416
                     14,                0.88809,                 1.0738,                 1.0489,                0.90504,                 0.9375,                0.94761,                0.77823,                0.75752,                 1.4279,                0.94823,              0.0018284,              0.0018284,              0.0018284
                     15,                0.89291,                 1.0827,                  1.038,                0.86376,                  0.875,                0.92274,                0.73328,                0.77903,                 1.4568,                0.95372,              0.0018152,              0.0018152,              0.0018152
                     16,                0.93029,                0.99284,                 1.0358,                0.93414,                      1,                0.98794,                0.76383,                0.81267,                 1.3141,                0.99913,               0.001802,               0.001802,               0.001802
                     17,                 0.8469,                0.91558,                 1.0437,                0.93978,                 0.9763,                0.96971,                0.77833,                0.78129,                 1.4504,                 1.0043,              0.0017888,              0.0017888,              0.0017888
                     18,                0.81934,                0.87797,                 1.0223,                 0.9813,                 0.9375,                0.94381,                0.69519,                0.71556,                 1.5126,                 1.0086,              0.0017756,              0.0017756,              0.0017756
                     19,                0.92246,                0.98165,                 1.1118,                0.96878,                      1,                  0.995,                0.71382,                0.84669,                 1.2337,                 1.0545,              0.0017624,              0.0017624,              0.0017624
                     20,                0.92368,                0.92192,                 1.0621,                 0.9234,                 0.9375,                0.97125,                 0.7077,                0.83224,                 1.3931,                 1.0089,              0.0017492,              0.0017492,              0.0017492
                     21,                0.80128,                0.82516,                0.98433,                0.93735,                 0.9352,                0.98458,                0.77051,                0.78471,                 1.1467,                0.99197,               0.001736,               0.001736,               0.001736
                     22,                0.85729,                0.83666,                 1.0303,                0.98792,                 0.9375,                0.99147,                0.84217,                0.63663,                 1.0006,                0.91797,              0.0017228,              0.0017228,              0.0017228
                     23,                0.83275,                0.78245,                 1.0083,                0.98736,                 0.9375,                  0.965,                0.79267,                0.71035,                0.93585,                0.96189,              0.0017096,              0.0017096,              0.0017096
                     24,                0.85127,                0.77907,                 1.0234,                0.97688,                  0.875,                   0.94,                0.73901,                0.78992,                 1.0743,                0.99916,              0.0016964,              0.0016964,              0.0016964
                     25,                0.80216,                0.74647,                  1.008,                0.87856,                      1,                0.98458,                 0.8111,                0.67692,                0.86957,                0.94336,              0.0016832,              0.0016832,              0.0016832
                     26,                0.80411,                0.75182,                 1.0216,                0.99521,                      1,                  0.995,                0.84212,                0.66978,                0.77912,                0.96376,                0.00167,                0.00167,                0.00167
                     27,                0.77764,                 0.7438,                 1.0057,                 0.9953,                      1,                  0.995,                0.85486,                0.63379,                0.86374,                0.95372,              0.0016568,              0.0016568,              0.0016568
                     28,                0.75825,                0.70105,                 1.0134,                0.98535,                 0.9375,                  0.955,                0.77685,                0.70668,                0.92257,                0.99728,              0.0016436,              0.0016436,              0.0016436
                     29,                0.74093,                0.65441,                0.98611,                0.90668,                 0.9375,                0.93831,                0.76397,                0.68409,                0.81848,                0.98229,              0.0016304,              0.0016304,              0.0016304
                     30,                0.78752,                0.71668,                 1.0215,                0.99772,                 0.9375,                 0.9681,                0.86418,                0.55411,                0.78504,                0.88848,              0.0016172,              0.0016172,              0.0016172
                     31,                0.75073,                0.66622,                0.98369,                 0.9407,                0.99197,                0.99147,                0.83566,                 0.6289,                0.73789,                0.91313,               0.001604,               0.001604,               0.001604
                     32,                0.72703,                0.64112,                0.98862,                0.99749,                      1,                  0.995,                0.84652,                0.55104,                0.60336,                0.89991,              0.0015908,              0.0015908,              0.0015908
                     33,                0.74994,                 0.6617,                 1.0058,                 0.9936,                      1,                  0.995,                0.80341,                0.69496,                0.62443,                0.96276,              0.0015776,              0.0015776,              0.0015776
                     34,                0.72875,                0.62755,                0.98935,                0.98678,                      1,                  0.995,                0.79446,                 0.7297,                0.63815,                0.96999,              0.0015644,              0.0015644,              0.0015644
                     35,                 0.6868,                0.62108,                0.95719,                0.97377,                      1,                  0.995,                0.83467,                0.63702,                 0.6521,                0.92251,              0.0015512,              0.0015512,              0.0015512
                     36,                0.70397,                0.59653,                0.97048,                0.93297,                      1,                0.99147,                0.85619,                0.58743,                0.61864,                0.90546,               0.001538,               0.001538,               0.001538
                     37,                0.64879,                0.57988,                0.94107,                 0.9953,                      1,                  0.995,                0.86149,                 0.6076,                0.57881,                0.91534,              0.0015248,              0.0015248,              0.0015248
                     38,                0.69287,                0.57291,                0.96565,                0.99664,                      1,                  0.995,                0.85406,                 0.7181,                 0.5666,                0.96012,              0.0015116,              0.0015116,              0.0015116
                     39,                0.72544,                0.61001,                0.99338,                0.99623,                      1,                  0.995,                0.87486,                0.57652,                0.56149,                0.90261,              0.0014984,              0.0014984,              0.0014984
                     40,                0.69565,                0.55689,                  0.959,                0.99385,                      1,                  0.995,                0.88124,                0.58852,                0.55224,                0.90297,              0.0014852,              0.0014852,              0.0014852
                     41,                0.66183,                0.56264,                0.94038,                0.99413,                      1,                  0.995,                0.82721,                0.66987,                0.52311,                0.92086,               0.001472,               0.001472,               0.001472
                     42,                0.66408,                0.56188,                0.95429,                0.99521,                      1,                  0.995,                0.85915,                0.60457,                0.53729,                0.90498,              0.0014588,              0.0014588,              0.0014588
                     43,                0.71653,                0.56953,                 0.9901,                0.99611,                      1,                  0.995,                0.81578,                0.70536,                0.60794,                0.95849,              0.0014456,              0.0014456,              0.0014456
                     44,                 0.6323,                0.57482,                0.96976,                0.99588,                      1,                  0.995,                0.84461,                0.74684,                0.58709,                0.95751,              0.0014324,              0.0014324,              0.0014324
                     45,                0.66899,                 0.5824,                0.95175,                0.99573,                      1,                  0.995,                0.87091,                0.61723,                0.49155,                0.91437,              0.0014192,              0.0014192,              0.0014192
                     46,                0.64933,                0.54646,                0.97497,                0.99598,                      1,                  0.995,                0.91526,                0.56143,                0.45787,                0.89368,               0.001406,               0.001406,               0.001406
                     47,                0.63172,                0.53266,                0.94408,                 0.9948,                      1,                  0.995,                0.85715,                0.61725,                0.46602,                 0.9131,              0.0013928,              0.0013928,              0.0013928
                     48,                0.65004,                 0.5325,                0.94244,                0.99506,                      1,                  0.995,                0.87973,                 0.6325,                0.49965,                0.90768,              0.0013796,              0.0013796,              0.0013796
                     49,                0.64371,                0.51713,                0.93334,                0.99033,                      1,                  0.995,                0.87493,                0.54617,                 0.4885,                0.87507,              0.0013664,              0.0013664,              0.0013664
                     50,                0.65218,                0.51072,                0.93831,                0.93438,                      1,                0.98794,                0.85299,                0.60396,                0.53969,                0.89774,              0.0013532,              0.0013532,              0.0013532
                     51,                0.68024,                0.51541,                0.95461,                0.93083,                      1,                0.99147,                 0.8609,                0.56587,                0.51886,                0.90193,                0.00134,                0.00134,                0.00134
                     52,                0.63068,                   0.51,                0.95204,                0.99229,                      1,                  0.995,                0.86397,                0.52404,                0.49252,                0.89385,              0.0013268,              0.0013268,              0.0013268
                     53,                0.66935,                 0.5553,                0.95586,                0.99447,                      1,                  0.995,                0.86463,                0.53343,                0.48453,                0.90462,              0.0013136,              0.0013136,              0.0013136
                     54,                0.65933,                0.49511,                 0.9576,                0.99671,                      1,                  0.995,                0.87073,                 0.6641,                0.51284,                0.95905,              0.0013004,              0.0013004,              0.0013004
                     55,                0.63124,                0.47011,                0.94656,                0.99826,                      1,                  0.995,                0.87589,                0.59204,                0.48219,                0.91869,              0.0012872,              0.0012872,              0.0012872
                     56,                0.63546,                0.48313,                0.94945,                0.99569,                      1,                  0.995,                0.87328,                0.59734,                0.47196,                0.92581,               0.001274,               0.001274,               0.001274
                     57,                0.65349,                 0.5028,                0.96522,                0.99749,                      1,                  0.995,                0.87318,                0.53134,                0.45075,                0.88171,              0.0012608,              0.0012608,              0.0012608
                     58,                0.65248,                0.48342,                 0.9479,                0.99611,                      1,                  0.995,                0.88374,                0.52788,                0.43432,                0.88359,              0.0012476,              0.0012476,              0.0012476
                     59,                 0.6296,                0.49113,                0.95338,                0.99241,                      1,                  0.995,                0.86108,                0.48121,                0.41819,                 0.8765,              0.0012344,              0.0012344,              0.0012344
                     60,                0.61422,                0.46685,                0.93463,                0.98912,                      1,                  0.995,                0.87752,                0.53026,                0.46004,                0.89249,              0.0012212,              0.0012212,              0.0012212
                     61,                0.58757,                0.46333,                0.91192,                0.99369,                      1,                  0.995,                0.89347,                0.50139,                0.40368,                0.88239,               0.001208,               0.001208,               0.001208
                     62,                0.60974,                0.47086,                0.93598,                0.99632,                      1,                  0.995,                0.90682,                 0.5219,                0.42535,                0.87951,              0.0011948,              0.0011948,              0.0011948
                     63,                0.60225,                0.47085,                0.93923,                0.99483,                      1,                  0.995,                  0.889,                0.55248,                0.44976,                0.89648,              0.0011816,              0.0011816,              0.0011816
                     64,                0.59124,                0.48001,                0.92947,                0.99589,                      1,                  0.995,                0.92203,                0.50361,                0.38343,                0.88297,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.6018,                0.46073,                0.90998,                0.99511,                      1,                  0.995,                0.90757,                0.51165,                0.42405,                0.89182,              0.0011552,              0.0011552,              0.0011552
                     66,                 0.6032,                0.47793,                0.93239,                0.99286,                      1,                  0.995,                0.89615,                0.49438,                0.43137,                0.89373,               0.001142,               0.001142,               0.001142
                     67,                0.59154,                0.45812,                0.93671,                0.99123,                      1,                  0.995,                0.89238,                0.45945,                0.43183,                0.88661,              0.0011288,              0.0011288,              0.0011288
                     68,                0.58947,                0.48653,                0.92732,                0.99587,                      1,                  0.995,                 0.9011,                0.53562,                0.41942,                0.90376,              0.0011156,              0.0011156,              0.0011156
                     69,                 0.5778,                0.46368,                0.90426,                0.99614,                      1,                  0.995,                0.91631,                0.52955,                0.40715,                0.89376,              0.0011024,              0.0011024,              0.0011024
                     70,                0.57547,                0.45603,                0.92113,                0.99633,                      1,                  0.995,                0.89708,                0.50031,                0.39011,                0.87196,              0.0010892,              0.0010892,              0.0010892
                     71,                0.58438,                0.45243,                0.92496,                0.99649,                      1,                  0.995,                0.90182,                0.49938,                0.38022,                0.88092,               0.001076,               0.001076,               0.001076
                     72,                0.57231,                0.43866,                0.91331,                0.99665,                      1,                  0.995,                 0.9018,                0.51945,                0.38989,                0.87825,              0.0010628,              0.0010628,              0.0010628
                     73,                0.59129,                0.45041,                0.92701,                0.99679,                      1,                  0.995,                0.90287,                0.49345,                0.40294,                0.86583,              0.0010496,              0.0010496,              0.0010496
                     74,                0.54837,                0.44097,                0.89559,                0.99654,                      1,                  0.995,                0.91953,                0.50126,                0.39396,                0.87297,              0.0010364,              0.0010364,              0.0010364
                     75,                0.52484,                0.39148,                0.89424,                0.99648,                      1,                  0.995,                0.88287,                0.51248,                0.36432,                0.89638,              0.0010232,              0.0010232,              0.0010232
                     76,                0.57363,                0.45873,                0.91958,                0.99577,                      1,                  0.995,                0.89326,                0.52776,                0.36818,                0.88202,                0.00101,                0.00101,                0.00101
                     77,                0.55041,                0.41991,                0.90244,                 0.9965,                      1,                  0.995,                0.87636,                0.53024,                0.35774,                0.88184,              0.0009968,              0.0009968,              0.0009968
                     78,                 0.5995,                0.43449,                0.92972,                  0.996,                      1,                  0.995,                0.88399,                0.55853,                0.38399,                0.89672,              0.0009836,              0.0009836,              0.0009836
                     79,                0.60119,                0.42762,                0.92594,                0.99509,                      1,                  0.995,                0.90049,                0.51642,                0.37715,                0.88832,              0.0009704,              0.0009704,              0.0009704
                     80,                0.55508,                0.40151,                0.90815,                0.99644,                      1,                  0.995,                0.91204,                0.49798,                0.35154,                0.87728,              0.0009572,              0.0009572,              0.0009572
                     81,                0.59175,                0.43126,                0.94943,                0.99652,                      1,                  0.995,                0.86346,                0.61622,                0.36828,                0.90111,               0.000944,               0.000944,               0.000944
